linenumber,name,address_one,address_two,city,state,zip,amount,date,year
SB21,Mother AME Zion Church,140-6 West 137th Street,,New York,NY,10030,250,11/10/11,2011
SB21,Mother AME Zion Church,140-6 West 137th Street,,New York,NY,10030,217,11/20/13,2013
SB21,MOTHER CABRINI HIGH SCHOOL,701 Fort Washington Ave,,New York,NY,100403702,1000,1/9/08,2008
SB21,Mount Calvary United Methodist Church,116 Edgecombe Avenue,,New York,NY,10037,200,7/7/08,2008
SB21,Mt. Morris Park Comm. Improvement Assn.,P. O. Box 3270,,New York,NY,10027,1000,4/14/09,2009
SB21,Museum of the City of New York,Attn: Jerry Gallagher,1220 Fifth Avenue,New York,NY,100295287,500,4/2/08,2008
SB21,Mychal Bell Legal Defense Fund,c/o Attorney Louis Scott,510 Pine Street,Monroe,LA,71201,500,8/10/07,2007
SB21,Mychal Bell Legal Defense Fund,c/o Attorney Louis Scott,510 Pine Street,Monroe,LA,71201,500,10/29/07,2007
SB17,NAACP,4805 Mount Hope Dr,,Baltimore,MD,212153206,1000,1/9/08,2008
SB21,NAACP New York Branch,Attn: Dr. Annie B. Martin,144 W 125th St,New York,NY,100274423,500,6/1/05,2005
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,200,7/20/05,2005
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,100,8/11/05,2005
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,2000,8/17/06,2006
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,2000,9/27/06,2006
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,5000,8/24/07,2007
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,1950,9/5/08,2008
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,1000,12/5/08,2008
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,1000,9/11/09,2009
SB21,NAACP-Mid-Manhattan Branch,Attn: Betty Sanders,270 West 96th Street,New York,NY,10025,1000,9/10/10,2010
